BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by Douglas Elliman  -111 Fifth Ave","Condo for sale",315000,2,1400,"2 E 55th St Unit 803","New York, NY 10022","2 E 55th St Unit 803, New York, NY 10022","New York County","New York",Manhattan,"East 55th Street","Regis Residence","Regis Residence, 2 E 55th St #803, New York, NY 10022, USA",40.761255,-73.9744834
"Brokered by COMPASS","Condo for sale",69000,1,445,"2 E 55th St Unit 908W33","Manhattan, NY 10022","2 E 55th St Unit 908W33, Manhattan, NY 10022","United States","New York","New York County","New York","East 55th Street","2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage","Townhouse for sale",55000000,2.5,14175,"5 E 64th St","New York, NY 10065","5 E 64th St, New York, NY 10065","United States","New York","New York County","New York","East 64th Street","5 E 64th St, New York, NY 10065, USA",40.7672235,-73.9698561
"Brokered by Sowae Corp","House for sale",690000,2,4004,"584 Park Pl","Brooklyn, NY 11238","584 Park Pl, Brooklyn, NY 11238","United States","New York","Kings County",Brooklyn,"Park Place","584 Park Pl, Brooklyn, NY 11238, USA",40.6743632,-73.9587248
"Brokered by Connie Profaci Realty","House for sale",16800000,16,33000,"177 Benedict Rd","Staten Island, NY 10304","177 Benedict Rd, Staten Island, NY 10304","United States","New York","Richmond County","Staten Island","Benedict Road","177 Benedict Rd, Staten Island, NY 10304, USA",40.5950017,-74.1064235
"Brokered by Pantiga Group Inc.","Co-op for sale",265000,1,750,"875 Morrison Ave Apt 3M","Bronx, NY 10473","875 Morrison Ave Apt 3M, Bronx, NY 10473","Bronx County","The Bronx","East Bronx","Morrison Avenue","Parking lot","Parking lot, 875 Morrison Ave #3m, Bronx, NY 10473, USA",40.8215857,-73.8740892
"Brokered by Engel & Volkers Americas","Co-op for sale",375000,1,850,"800 Grand Concourse Apt 2JS","Bronx, NY 10451","800 Grand Concourse Apt 2JS, Bronx, NY 10451","New York","Bronx County","The Bronx","Concourse Village",800,"800 Grand Concourse #2j, Bronx, NY 10451, USA",40.8248699,-73.9229829
"Brokered by Re/Max Edge","Townhouse for sale",689000,2.5,1162,"456 Van Name Ave","Staten Island, NY 10303","456 Van Name Ave, Staten Island, NY 10303","United States","New York","Richmond County","Staten Island","Van Name Avenue","456 Van Name Ave, Staten Island, NY 10303, USA",40.6249962,-74.1553058
"Brokered by Jamie & Connie Real Estate Grp","Co-op for sale",430000,2,2169,"91-15 Lamont Ave Unit 6D","Elmhurst, NY 11373","91-15 Lamont Ave Unit 6D, Elmhurst, NY 11373","New York","Queens County",Queens,Elmhurst,91-15,"91-15 Lamont Ave #6d, Elmhurst, NY 11373, USA",40.7438639,-73.8745722
"Brokered by Awaye Realty","Condo for sale",549000,2,1000,"4654 Amboy Rd Unit 2B","Staten Island, NY 10312","4654 Amboy Rd Unit 2B, Staten Island, NY 10312","New York","Richmond County","Staten Island",Annadale,4654,"4654 Amboy Rd #2b, Staten Island, NY 10312, USA",40.5406209,-74.1671632
"Brokered by Realty Executives Today","Townhouse for sale",975000,2,1734,"28-31 Hobart St","Woodside, NY 11377","28-31 Hobart St, Woodside, NY 11377","United States","New York","Queens County",Queens,"Hobart Street","28-31 Hobart St, Flushing, NY 11377, USA",40.7607676,-73.9056672
"Brokered by Dorsa Group Realty","Co-op for sale",199000,1,325,"9430 Ridge Blvd Apt 6D","Brooklyn, NY 11209","9430 Ridge Blvd Apt 6D, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Fort Hamilton",9430,"9430 Ridge Blvd #6d, Brooklyn, NY 11209, USA",40.6181029,-74.0369047
"Brokered by Coldwell Banker Realty","Co-op for sale",350000,1,700,"5800 Arlington Ave Apt 21A","Bronx, NY 10471","5800 Arlington Ave Apt 21A, Bronx, NY 10471","New York","Bronx County","The Bronx","North Riverdale",5800,"5800 Arlington Ave Apt 21s, Bronx, NY 10471, USA",40.9073699,-73.9065578
"Brokered by Keller Williams Rlty Landmark","Condo for sale",599000,2,974,"92-29 Queens Blvd Unit 3H","Rego Park, NY 11374","92-29 Queens Blvd Unit 3H, Rego Park, NY 11374","New York","Queens County",Queens,"Rego Park",92-29,"92-29 Queens Blvd #3h, Rego Park, NY 11374, USA",40.7324713,-73.8670804
"Brokered by Radiant Estates LLC","House for sale",639999,2,1260,"27 Clove Way","Staten Island, NY 10301","27 Clove Way, Staten Island, NY 10301","United States","New York","Richmond County","Staten Island","Clove Way","27 Clove Way, Staten Island, NY 10301, USA",40.6207403,-74.1114362
"Brokered by Martino Realty Group","Condo for sale",349900,1,651,"165 Cromwell Ave Apt 2B","Staten Island, NY 10304","165 Cromwell Ave Apt 2B, Staten Island, NY 10304","New York","Richmond County","Staten Island","Dongan Hills",165,"165 Cromwell Ave #2b, Staten Island, NY 10304, USA",40.5902064,-74.0958034
